,id,linenum,value,var
0,211001.0,,5,211186
1,211001.0,,2,211195
2,211002.0,,3,211156
3,211002.0,,4,211196
4,211003.0,,2,211157
5,211003.0,,4,211022
6,211004.0,,2,211177
7,211004.0,,3,211190
8,211005.0,,5,211162
9,211005.0,,5,211175
10,211006.0,,2,211173
11,211006.0,,4,211153
12,211007.0,,1,211028
13,211007.0,,2,211159
14,211009.0,,4,211018
15,211009.0,,2,211034
16,211013.0,,2,211162
17,211013.0,,2,211176
18,211014.0,,5,211190
19,211014.0,,5,211032
20,211015.0,,1,211050
21,211015.0,,4,211173
22,211018.0,,1,211155
23,211018.0,,5,211193
24,211019.0,,2,211195
25,211019.0,,4,211197
26,211020.0,,5,211184
27,211020.0,,2,211199
28,211021.0,,2,211164
29,211021.0,,4,211198
30,211024.0,,5,211158
31,211024.0,,5,211157
32,211025.0,,5,211152
33,211025.0,,4,211152
34,211026.0,,1,211187
35,211026.0,,1,211022
36,211039.0,,4,211019
37,211039.0,,4,211152
38,211040.0,,4,211181
39,211040.0,,2,211019
40,211045.0,,3,211157
41,211045.0,,1,211041
42,211047.0,,5,211176
43,211047.0,,4,211160
44,211048.0,,5,211178
45,211048.0,,1,211050
46,211049.0,,2,211162
47,211049.0,,5,211004
48,211050.0,,4,211033
49,211050.0,,1,211169
50,211051.0,,4,211199
51,211051.0,,4,211166
52,211151.0,,3,211007
53,211151.0,,2,211030
54,211152.0,,3,211002
55,211152.0,,5,211180
56,211153.0,,5,211047
57,211153.0,,1,211001
58,211154.0,,2,211049
59,211154.0,,3,211002
60,211155.0,,2,211195
61,211155.0,,2,211176
62,211156.0,,3,211051
63,211156.0,,3,211032
64,211157.0,,2,211156
65,211157.0,,4,211152
66,211159.0,,5,211168
67,211159.0,,1,211012
68,211167.0,,5,211158
69,211167.0,,3,211049
70,211168.0,,2,211167
71,211168.0,,3,211028
72,211172.0,,4,211013
73,211172.0,,2,211193
74,211173.0,,1,211162
75,211173.0,,4,211015
76,211175.0,,3,211178
77,211175.0,,5,211004
78,211176.0,,3,211183
79,211176.0,,3,211168
80,211178.0,,1,211172
81,211178.0,,5,211166
82,211179.0,,2,211010
83,211179.0,,5,211001
84,211180.0,,2,211158
85,211180.0,,5,211027
86,211181.0,,3,211173
87,211181.0,,4,211193
88,211182.0,,3,211195
89,211182.0,,4,211025
90,211186.0,,4,211026
91,211186.0,,1,211158
92,211187.0,,3,211006
93,211187.0,,1,211051
94,211188.0,,1,211040
95,211188.0,,3,211174
96,211189.0,,2,211051
97,211189.0,,1,211155
98,211190.0,,1,211003
99,211190.0,,3,211024
100,211192.0,,3,211162
101,211192.0,,2,211178
102,211001.0,,1,211013
103,211001.0,,1,211197
104,211002.0,,2,211196
105,211002.0,,1,211021
106,211003.0,,1,211015
107,211003.0,,1,211015
108,211006.0,,5,211172
109,211006.0,,5,211158
110,211009.0,,5,211192
111,211009.0,,5,211196
112,211013.0,,2,211155
113,211013.0,,3,211021
114,211015.0,,2,211048
115,211015.0,,1,211184
116,211018.0,,2,211025
117,211018.0,,5,211190
118,211019.0,,1,211012
119,211019.0,,1,211188
120,211021.0,,1,211181
121,211021.0,,3,211020
122,211024.0,,1,211162
123,211024.0,,2,211159
124,211025.0,,1,211041
125,211025.0,,2,211180
126,211026.0,,5,211180
127,211026.0,,3,211176
128,211027.0,,3,211177
129,211027.0,,4,211024
130,211028.0,,5,211159
131,211028.0,,5,211156
132,211030.0,,3,211155
133,211030.0,,1,211170
134,211047.0,,2,211196
135,211047.0,,2,211001
136,211048.0,,1,211172
137,211048.0,,3,211199
138,211049.0,,1,211198
139,211049.0,,4,211050
140,211050.0,,3,211027
141,211050.0,,1,211032
142,211151.0,,5,211046
143,211151.0,,2,211018
144,211152.0,,4,211168
145,211152.0,,2,211158
146,211153.0,,2,211003
147,211153.0,,4,211046
148,211154.0,,4,211001
149,211154.0,,2,211018
150,211155.0,,4,211034
151,211155.0,,5,211014
152,211156.0,,2,211018
153,211156.0,,5,211048
154,211157.0,,2,211155
155,211157.0,,3,211006
156,211159.0,,2,211152
157,211159.0,,2,211021
158,211176.0,,5,211027
159,211176.0,,5,211188
160,211181.0,,5,211186
161,211181.0,,1,211198
162,211186.0,,1,211173
163,211186.0,,3,211018
164,211188.0,,4,211041
165,211188.0,,2,211180
166,211190.0,,3,211050
167,211190.0,,1,211197
168,211192.0,,4,211032
169,211192.0,,5,211049
170,211001.0,,1,211002
171,211002.0,,1,211014
172,211003.0,,5,211197
173,211004.0,,1,211047
174,211005.0,,5,211047
175,211006.0,,2,211181
176,211007.0,,3,211186
177,211009.0,,4,211184
178,211013.0,,4,211174
179,211014.0,,5,211019
180,211015.0,,3,211040
181,211018.0,,1,211170
182,211019.0,,3,211040
183,211020.0,,5,211014
184,211021.0,,1,211019
185,211024.0,,1,211160
186,211025.0,,3,211197
187,211026.0,,3,211047
188,211039.0,,4,211021
189,211040.0,,3,211027
190,211045.0,,4,211186
191,211047.0,,4,211177
192,211048.0,,2,211173
193,211049.0,,3,211012
194,211050.0,,1,211164
195,211051.0,,4,211164
196,211151.0,,2,211193
197,211152.0,,4,211183
198,211153.0,,2,211188
199,211154.0,,3,211192
200,211155.0,,2,211005
201,211156.0,,4,211006
202,211157.0,,5,211028
203,211159.0,,3,211003
204,211167.0,,4,211160
205,211168.0,,2,211167
206,211172.0,,3,211012
207,211173.0,,4,211152
208,211175.0,,3,211190
209,211176.0,,4,211175
210,211178.0,,3,211190
211,211179.0,,3,211009
212,211180.0,,5,211003
213,211181.0,,3,211051
214,211182.0,,5,211184
215,211186.0,,5,211152
216,211187.0,,4,211195
217,211188.0,,1,211169
218,211189.0,,3,211181
219,211190.0,,4,211154
220,211192.0,,5,211199
221,211001.0,,4,211027
222,211002.0,,1,211164
223,211003.0,,5,211006
224,211006.0,,4,211041
225,211009.0,,2,211051
226,211013.0,,5,211168
227,211015.0,,4,211041
228,211018.0,,1,211183
229,211019.0,,2,211154
230,211021.0,,5,211050
231,211024.0,,3,211162
232,211025.0,,5,211194
233,211026.0,,2,211177
234,211027.0,,3,211197
235,211028.0,,5,211162
236,211030.0,,2,211009
237,211047.0,,3,211006
238,211048.0,,1,211003
239,211049.0,,1,211028
240,211050.0,,2,211048
241,211151.0,,3,211180
242,211152.0,,1,211034
243,211153.0,,1,211187
244,211154.0,,2,211156
245,211155.0,,1,211197
246,211156.0,,5,211169
247,211157.0,,5,211020
248,211159.0,,2,211026
249,211176.0,,1,211196
250,211181.0,,4,211194
251,211186.0,,4,211187
252,211188.0,,2,211177
253,211190.0,,3,211025
254,211192.0,,3,211199
255,211003.0,,2,211166
256,211005.0,,4,211002
257,211007.0,,2,211022
258,211010.0,,5,211187
259,211012.0,,3,211193
260,211022.0,,3,211001
261,211025.0,,1,211158
262,211026.0,,5,211041
263,211028.0,,3,211169
264,211030.0,,4,211015
265,211033.0,,2,211156
266,211034.0,,4,211175
267,211046.0,,3,211020
268,211049.0,,3,211181
269,211050.0,,3,211004
270,211151.0,,4,211049
271,211152.0,,1,211167
272,211153.0,,5,211006
273,211154.0,,4,211176
274,211155.0,,1,211187
275,211156.0,,3,211158
276,211157.0,,3,211007
277,211158.0,,1,211193
278,211159.0,,3,211040
279,211162.0,,4,211194
280,211166.0,,2,211172
281,211167.0,,3,211014
282,211168.0,,1,211046
283,211169.0,,2,211156
284,211170.0,,5,211174
285,211172.0,,5,211039
286,211173.0,,2,211198
287,211174.0,,3,211192
288,211176.0,,5,211199
289,211177.0,,2,211026
290,211178.0,,2,211026
291,211179.0,,5,211187
292,211180.0,,2,211174
293,211181.0,,3,211159
294,211182.0,,1,211001
295,211001.0,,4,211004
296,211002.0,,5,211020
297,211007.0,,3,211184
298,211009.0,,2,211168
299,211010.0,,5,211020
300,211012.0,,5,211187
301,211020.0,,2,211179
302,211024.0,,1,211169
303,211025.0,,4,211153
304,211026.0,,4,211180
305,211033.0,,3,211014
306,211034.0,,5,211157
307,211046.0,,2,211154
308,211049.0,,5,211190
309,211050.0,,3,211198
310,211151.0,,3,211027
311,211152.0,,4,211006
312,211153.0,,5,211174
313,211154.0,,1,211172
314,211155.0,,4,211195
315,211156.0,,3,211045
316,211157.0,,5,211040
317,211159.0,,2,211167
318,211166.0,,4,211021
319,211167.0,,5,211193
320,211168.0,,1,211015
321,211169.0,,4,211195
322,211170.0,,5,211193
323,211172.0,,3,211032
324,211174.0,,3,211195
325,211175.0,,5,211157
326,211176.0,,1,211034
327,211181.0,,2,211178
328,211183.0,,4,211002
329,211190.0,,3,211028
330,211001.0,,3,211020
331,211002.0,,1,211174
332,211003.0,,4,211193
333,211004.0,,3,211009
334,211005.0,,1,211030
335,211006.0,,2,211048
336,211007.0,,2,211173
337,211009.0,,3,211039
338,211010.0,,3,211014
339,211012.0,,1,211187
340,211014.0,,5,211174
341,211024.0,,1,211034
342,211025.0,,3,211155
343,211026.0,,5,211151
344,211027.0,,2,211169
345,211028.0,,2,211027
346,211030.0,,1,211152
347,211032.0,,4,211019
348,211033.0,,5,211046
349,211034.0,,1,211002
350,211046.0,,3,211032
351,211049.0,,2,211015
352,211050.0,,1,211025
353,211151.0,,1,211022
354,211152.0,,1,211015
355,211153.0,,5,211027
356,211154.0,,4,211014
357,211155.0,,5,211170
358,211156.0,,5,211046
359,211157.0,,4,211153
360,211159.0,,4,211157
361,211160.0,,3,211197
362,211166.0,,4,211003
363,211168.0,,2,211181
364,211169.0,,4,211180
365,211170.0,,2,211019
366,211172.0,,5,211009
367,211173.0,,4,211046
368,211174.0,,3,211197
369,211175.0,,1,211189
370,211176.0,,2,211180
371,211177.0,,1,211047
372,211178.0,,1,211172
373,211179.0,,5,211166
374,211180.0,,1,211020
375,211181.0,,3,211177
376,211182.0,,3,211047
377,211183.0,,2,211020
378,211184.0,,2,211190
379,211186.0,,4,211039
380,211187.0,,4,211199
381,211188.0,,5,211180
382,211189.0,,4,211015
383,211190.0,,1,211013
384,211192.0,,4,211194
385,211195.0,,2,211005
386,211196.0,,4,211168
387,211198.0,,4,211156
388,211199.0,,3,211014
389,211024.0,,3,211151
390,211025.0,,4,211028
391,211045.0,,3,211195
392,211051.0,,2,211002
393,211151.0,,4,211190
394,211152.0,,1,211013
395,211153.0,,5,211002
396,211156.0,,1,211188
397,211157.0,,1,211178
398,211159.0,,2,211198
399,211020.0,,1,211196
400,211025.0,,1,211005
401,211027.0,,5,211152
402,211151.0,,4,211005
403,211152.0,,5,211019
404,211153.0,,1,211026
405,211154.0,,1,211162
406,211155.0,,4,211047
407,211156.0,,4,211004
408,211157.0,,2,211159
409,211159.0,,5,211156
410,211176.0,,3,211013
411,211010.0,,2,211034
412,211012.0,,4,211159
413,211013.0,,2,211157
414,211015.0,,5,211193
415,211022.0,,3,211050
416,211024.0,,4,211032
417,211032.0,,5,211160
418,211033.0,,4,211173
419,211034.0,,1,211195
420,211039.0,,3,211187
421,211041.0,,1,211024
422,211049.0,,2,211013
423,211151.0,,3,211174
424,211153.0,,5,211157
425,211155.0,,5,211192
426,211156.0,,3,211013
427,211158.0,,5,211030
428,211159.0,,4,211156
429,211160.0,,3,211195
430,211162.0,,5,211159
431,211164.0,,2,211041
432,211168.0,,4,211155
433,211172.0,,3,211188
434,211174.0,,4,211194
435,211176.0,,2,211157
436,211177.0,,3,211175
437,211178.0,,4,211004
438,211179.0,,5,211160
439,211180.0,,4,211018
440,211181.0,,4,211040
441,211182.0,,1,211006
442,211183.0,,4,211159
443,211186.0,,3,211155
444,211187.0,,3,211014
445,211188.0,,4,211003
446,211189.0,,5,211192
447,211190.0,,4,211024
448,211197.0,,1,211180
449,211005.0,,3,211039
450,211009.0,,5,211021
451,211010.0,,5,211178
452,211012.0,,4,211005
453,211014.0,,1,211020
454,211032.0,,5,211007
455,211033.0,,2,211041
456,211034.0,,2,211194
457,211151.0,,2,211048
458,211152.0,,2,211018
459,211153.0,,3,211169
460,211154.0,,3,211152
461,211155.0,,4,211050
462,211156.0,,5,211190
463,211157.0,,4,211019
464,211159.0,,3,211162
465,211166.0,,2,211039
466,211167.0,,2,211180
467,211174.0,,4,211048
468,211175.0,,5,211004
469,211176.0,,1,211188
470,211177.0,,3,211033
471,211178.0,,3,211170
472,211179.0,,1,211012
473,211181.0,,5,211199
474,211182.0,,2,211178
475,211183.0,,5,211175
476,211186.0,,4,211170
477,211187.0,,4,211179
478,211190.0,,4,211045
479,211192.0,,2,211160
480,211197.0,,4,211046
481,211001.0,,4,211152
482,211002.0,,3,211021
483,211004.0,,4,211166
484,211006.0,,1,211199
485,211007.0,,3,211041
486,211009.0,,3,211198
487,211010.0,,2,211019
488,211012.0,,3,211003
489,211022.0,,4,211040
490,211025.0,,3,211180
491,211026.0,,1,211169
492,211028.0,,5,211162
493,211030.0,,4,211195
494,211032.0,,3,211020
495,211033.0,,2,211178
496,211034.0,,4,211174
497,211046.0,,1,211048
498,211048.0,,4,211164
499,211049.0,,4,211041
500,211151.0,,4,211002
501,211153.0,,2,211002
502,211156.0,,4,211195
503,211159.0,,5,211186
504,211160.0,,5,211196
505,211164.0,,4,211195
506,211166.0,,1,211153
507,211168.0,,4,211162
508,211170.0,,1,211194
509,211172.0,,4,211197
510,211173.0,,3,211158
511,211174.0,,5,211021
512,211175.0,,5,211173
513,211176.0,,2,211012
514,211177.0,,1,211178
515,211178.0,,5,211152
516,211179.0,,5,211004
517,211180.0,,5,211160
518,211181.0,,3,211034
519,211184.0,,2,211018
520,211186.0,,4,211172
521,211187.0,,1,211039
522,211188.0,,3,211007
523,211189.0,,4,211015
524,211190.0,,1,211177
525,211192.0,,3,211180
526,211193.0,,4,211198
527,211194.0,,2,211182
528,211195.0,,4,211186
529,211196.0,,3,211187
530,211198.0,,5,211039
531,211199.0,,4,211177
532,211010.0,,1,211156
533,211012.0,,3,211159
534,211019.0,,1,211010
535,211021.0,,2,211022
536,211024.0,,3,211154
537,211025.0,,3,211024
538,211032.0,,5,211179
539,211033.0,,2,211010
540,211034.0,,2,211172
541,211049.0,,5,211010
542,211159.0,,5,211154
543,211173.0,,1,211190
544,211175.0,,5,211167
545,211176.0,,3,211184
546,211177.0,,3,211015
547,211179.0,,5,211040
548,211180.0,,2,211166
549,211181.0,,3,211157
550,211182.0,,2,211047
551,211183.0,,2,211193
552,211186.0,,1,211051
553,211187.0,,2,211160
554,211189.0,,2,211174
555,211194.0,,5,211001
556,211199.0,,2,211046
557,211001.0,,5,211172
558,211002.0,,3,211184
559,211003.0,,3,211030
560,211004.0,,4,211197
561,211006.0,,1,211154
562,211007.0,,1,211050
563,211009.0,,4,211176
564,211010.0,,5,211197
565,211012.0,,2,211050
566,211013.0,,5,211034
567,211014.0,,4,211012
568,211015.0,,5,211159
569,211018.0,,2,211006
570,211024.0,,5,211188
571,211025.0,,2,211151
572,211026.0,,1,211041
573,211027.0,,1,211151
574,211032.0,,3,211158
575,211033.0,,4,211049
576,211034.0,,3,211195
577,211039.0,,5,211041
578,211040.0,,1,211184
579,211045.0,,3,211158
580,211046.0,,5,211010
581,211047.0,,1,211009
582,211049.0,,5,211187
583,211051.0,,4,211046
584,211151.0,,5,211178
585,211153.0,,2,211158
586,211154.0,,5,211180
587,211155.0,,1,211172
588,211156.0,,3,211175
589,211158.0,,4,211177
590,211159.0,,2,211181
591,211160.0,,3,211170
592,211164.0,,1,211158
593,211166.0,,4,211003
594,211167.0,,3,211190
595,211168.0,,1,211152
596,211169.0,,5,211184
597,211170.0,,2,211154
598,211172.0,,4,211186
599,211173.0,,4,211047
600,211174.0,,5,211193
601,211175.0,,2,211176
602,211176.0,,5,211174
603,211177.0,,4,211026
604,211179.0,,3,211001
605,211181.0,,5,211172
606,211182.0,,2,211007
607,211183.0,,4,211006
608,211186.0,,4,211187
609,211187.0,,1,211188
610,211188.0,,5,211168
611,211189.0,,2,211193
612,211190.0,,2,211046
613,211192.0,,2,211189
614,211195.0,,2,211049
615,211010.0,,1,211154
616,211012.0,,4,211182
617,211014.0,,5,211003
618,211015.0,,1,211195
619,211019.0,,1,211181
620,211033.0,,5,211190
621,211034.0,,3,211153
622,211049.0,,2,211045
623,211151.0,,5,211169
624,211152.0,,4,211153
625,211153.0,,5,211158
626,211154.0,,5,211182
627,211155.0,,5,211009
628,211156.0,,5,211195
629,211157.0,,4,211184
630,211159.0,,3,211176
631,211164.0,,1,211167
632,211176.0,,5,211158
633,211177.0,,1,211166
634,211178.0,,4,211040
635,211179.0,,1,211013
636,211180.0,,3,211184
637,211181.0,,3,211188
638,211183.0,,2,211162
639,211188.0,,5,211001
640,211190.0,,5,211050
641,211192.0,,1,211199
642,211193.0,,2,211195
643,211194.0,,2,211155
644,211197.0,,2,211194
645,211001.0,,1,211005
646,211003.0,,2,211179
647,211004.0,,2,211003
648,211005.0,,3,211006
649,211006.0,,1,211009
650,211009.0,,4,211018
651,211013.0,,5,211184
652,211018.0,,2,211172
653,211020.0,,1,211170
654,211022.0,,1,211049
655,211028.0,,3,211152
656,211030.0,,5,211179
657,211032.0,,4,211155
658,211033.0,,4,211175
659,211034.0,,5,211190
660,211041.0,,2,211175
661,211046.0,,3,211018
662,211049.0,,5,211019
663,211151.0,,1,211030
664,211153.0,,5,211007
665,211154.0,,1,211183
666,211155.0,,1,211001
667,211156.0,,1,211153
668,211159.0,,5,211026
669,211167.0,,5,211009
670,211177.0,,4,211039
671,211178.0,,4,211025
672,211179.0,,2,211028
673,211180.0,,5,211021
674,211181.0,,4,211014
675,211182.0,,2,211157
676,211199.0,,4,211170
677,211001.0,,5,211168
678,211002.0,,5,211197
679,211003.0,,1,211153
680,211007.0,,1,211014
681,211009.0,,4,211001
682,211010.0,,3,211174
683,211012.0,,4,211196
684,211024.0,,1,211030
685,211026.0,,1,211013
686,211028.0,,2,211159
687,211030.0,,3,211047
688,211032.0,,1,211154
689,211033.0,,1,211022
690,211034.0,,4,211168
691,211045.0,,4,211160
692,211046.0,,1,211155
693,211049.0,,2,211159
694,211050.0,,4,211198
695,211051.0,,5,211013
696,211154.0,,3,211196
697,211155.0,,3,211195
698,211156.0,,5,211177
699,211159.0,,2,211156
700,211162.0,,5,211170
701,211166.0,,2,211045
702,211168.0,,5,211173
703,211173.0,,2,211167
704,211174.0,,4,211040
705,211176.0,,2,211013
706,211177.0,,1,211025
707,211178.0,,4,211024
708,211179.0,,1,211195
709,211180.0,,5,211004
710,211181.0,,1,211005
711,211182.0,,4,211006
712,211183.0,,3,211151
713,211186.0,,2,211022
714,211187.0,,5,211026
715,211188.0,,2,211015
716,211189.0,,3,211155
717,211192.0,,3,211169
718,211002.0,,2,211182
719,211003.0,,1,211172
720,211007.0,,2,211014
721,211010.0,,2,211032
722,211012.0,,1,211168
723,211019.0,,5,211049
724,211020.0,,1,211013
725,211024.0,,3,211021
726,211025.0,,1,211193
727,211026.0,,4,211024
728,211027.0,,3,211051
729,211032.0,,5,211007
730,211033.0,,4,211022
731,211034.0,,1,211032
732,211046.0,,2,211004
733,211049.0,,3,211039
734,211050.0,,5,211155
735,211152.0,,2,211033
736,211154.0,,4,211004
737,211157.0,,4,211030
738,211159.0,,5,211183
739,211176.0,,5,211020
740,211178.0,,4,211015
741,211179.0,,1,211032
742,211180.0,,4,211153
743,211181.0,,5,211160
744,211182.0,,2,211151
745,211183.0,,1,211160
746,211190.0,,2,211009
747,211197.0,,3,211157
748,211004.0,,1,211001
749,211005.0,,3,211003
750,211009.0,,2,211001
751,211010.0,,4,211022
752,211012.0,,1,211009
753,211021.0,,2,211188
754,211033.0,,2,211195
755,211034.0,,1,211193
756,211049.0,,3,211169
757,211152.0,,3,211033
758,211157.0,,1,211169
759,211167.0,,2,211159
760,211168.0,,1,211045
761,211174.0,,1,211009
762,211176.0,,3,211192
763,211178.0,,1,211014
764,211179.0,,3,211188
765,211180.0,,5,211049
766,211181.0,,5,211194
767,211182.0,,4,211024
768,211183.0,,1,211159
769,211010.0,,4,211157
770,211012.0,,1,211158
771,211019.0,,2,211015
772,211025.0,,5,211046
773,211033.0,,4,211172
774,211034.0,,5,211175
775,211154.0,,4,211026
776,211155.0,,4,211041
777,211159.0,,4,211168
778,211001.0,1.0,5,Farmers
779,211002.0,2.0,5,Farmers
780,211003.0,3.0,5,Farmers
781,211004.0,4.0,2,Farmers
782,211005.0,5.0,2,Farmers
783,211006.0,6.0,2,Farmers
784,211007.0,7.0,2,Farmers
785,211009.0,8.0,2,Farmers
786,211013.0,9.0,5,Farmers
787,211014.0,10.0,5,Farmers
788,211015.0,11.0,5,Farmers
789,211018.0,12.0,3,Farmers
790,211019.0,13.0,2,Farmers
791,211020.0,14.0,2,Farmers
792,211021.0,15.0,2,Farmers
793,211024.0,16.0,5,Farmers
794,211025.0,17.0,5,Farmers
795,211026.0,18.0,5,Farmers
796,211039.0,19.0,5,Farmers
797,211040.0,20.0,5,Farmers
798,211045.0,21.0,2,Farmers
799,211047.0,22.0,5,Farmers
800,211048.0,23.0,5,Farmers
801,211049.0,24.0,5,Farmers
802,211050.0,25.0,5,Farmers
803,211051.0,26.0,2,Farmers
804,211151.0,27.0,5,Farmers
805,211152.0,28.0,5,Farmers
806,211153.0,29.0,5,Farmers
807,211154.0,30.0,5,Farmers
808,211155.0,31.0,5,Farmers
809,211156.0,32.0,5,Farmers
810,211157.0,33.0,5,Farmers
811,211159.0,34.0,5,Farmers
812,211167.0,35.0,1,Farmers
813,211168.0,36.0,3,Farmers
814,211172.0,37.0,3,Farmers
815,211173.0,38.0,5,Farmers
816,211175.0,39.0,3,Farmers
817,211176.0,40.0,4,Farmers
818,211178.0,41.0,4,Farmers
819,211179.0,42.0,5,Farmers
820,211180.0,43.0,4,Farmers
821,211181.0,44.0,5,Farmers
822,211182.0,45.0,3,Farmers
823,211186.0,46.0,2,Farmers
824,211187.0,47.0,2,Farmers
825,211188.0,48.0,2,Farmers
826,211189.0,49.0,2,Farmers
827,211190.0,50.0,2,Farmers
828,211192.0,51.0,2,Farmers
829,211001.0,52.0,2,Neighbor/friend
830,211002.0,53.0,5,Neighbor/friend
831,211003.0,54.0,5,Neighbor/friend
832,211006.0,55.0,5,Neighbor/friend
833,211009.0,56.0,5,Neighbor/friend
834,211013.0,57.0,5,Neighbor/friend
835,211015.0,58.0,4,Neighbor/friend
836,211018.0,59.0,3,Neighbor/friend
837,211019.0,60.0,2,Neighbor/friend
838,211021.0,61.0,2,Neighbor/friend
839,211024.0,62.0,5,Neighbor/friend
840,211025.0,63.0,5,Neighbor/friend
841,211026.0,64.0,5,Neighbor/friend
842,211027.0,65.0,3,Neighbor/friend
843,211028.0,66.0,5,Neighbor/friend
844,211030.0,67.0,5,Neighbor/friend
845,211047.0,68.0,5,Neighbor/friend
846,211048.0,69.0,4,Neighbor/friend
847,211049.0,70.0,5,Neighbor/friend
848,211050.0,71.0,5,Neighbor/friend
849,211151.0,72.0,5,Neighbor/friend
850,211152.0,73.0,5,Neighbor/friend
851,211153.0,74.0,5,Neighbor/friend
852,211154.0,75.0,4,Neighbor/friend
853,211155.0,76.0,5,Neighbor/friend
854,211156.0,77.0,5,Neighbor/friend
855,211157.0,78.0,5,Neighbor/friend
856,211159.0,79.0,5,Neighbor/friend
857,211176.0,80.0,5,Neighbor/friend
858,211181.0,81.0,2,Neighbor/friend
859,211186.0,82.0,2,Neighbor/friend
860,,83.0,0,0
861,211188.0,84.0,2,Neighbor/friend
862,211190.0,85.0,2,Neighbor/friend
